importance;school;skill;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Άλλες δραστηριότητες παροχής υπηρεσιών;Γεωργία, Δασοκομία και Αλιεία;Δημόσια διοίκηση και άμυνα, υποχρεωτική κοινωνική ασφάλιση;Διαχείριση ακίνητης περιουσίας;Διοικητικές και υποστηρικτικές δραστηριότητες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Εκπαίδευση;Ενημέρωση και επικοινωνία;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Κατασκευές;Μεταποίηση;Μεταφορά και αποθήκευση;Ορυχεία και Λατομεία;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης;Τέχνες, διασκέδαση και ψυχαγωγία;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Χωρίς δραστηριότητα
Επάρκεια;ΓΕΛ (Ε);Διασφάλιση ορθής διαχείρισης εγγράφων;0,1;-0,43;0,23;-2,38;2,18;-0,03;-0,51;-0,01;0,52;0,04;0,77;-0,35;-0,55;-0,05;-0,26;1,26;-1,31;0,41;-0,02;0,44
Επάρκεια;ΓΕΛ (Ε);Διαχείριση καταλόγου απογραφής αποθήκης;0,98;0,06;-0,85;-2,5;4,23;0,29;-1,14;1,21;-0,65;0,95;-0,41;-0,51;-0,05;0,08;-0,14;3,14;-3,03;-1,19;2,63;-1,39
Επάρκεια;ΓΕΛ (Ε);Διαχείριση παραπόνων πελατών;-0,1;-0,07;1,3;0,09;-1,01;-0,37;0,41;-0,59;0,31;0,72;0,16;-0,53;-0,02;0,91;-1,61;3,61;-3,59;0,18;1,04;-0,41
Επάρκεια;ΓΕΛ (Ε);Έκδοση τιμολογίων πώλησης;0,98;-0,21;-0,18;5,73;-5,53;-0,1;-0,23;0,63;0,02;-0,19;0,57;-0,58;-0,25;-0,34;0,56;-0,06;-0,03;-0,51;0,6;0,16
Επάρκεια;ΓΕΛ (Ε);Έλεγχος δαπανών;1,86;-0,01;0,11;-1,22;0,88;0,3;-0,58;0,47;-0,05;-0,06;0,24;-0,37;-0,4;-0,44;0,47;0,03;-0,34;0,69;0,5;-0,39
Επάρκεια;ΓΕΛ (Ε);Εντοπισμός αναγκών πελάτη;0,43;-0,31;0,36;2,7;-2,51;-0,15;0,36;-0,39;0,33;0,41;0,14;-0,14;-0,47;1,08;-1,08;2,58;-3,38;0,23;1,01;-0,3
Επάρκεια;ΓΕΛ (Ε);Επικοινωνία με πελάτες;0,46;-0,24;0,65;0,18;-0,4;-0,4;0,1;-0,1;0,55;0,04;0,58;-0,42;-0,35;1,4;-1,58;2,58;-2,97;0,19;0,61;-0,06
Επάρκεια;ΓΕΛ (Ε);Εποπτεία του ελέγχου ποιότητας αποθεμάτων;1,62;0,29;-0,47;-2,27;3,87;0,15;-0,75;1,27;-0,77;0,57;0,03;-1,11;0,54;-1,8;1,43;3,07;-3,18;-1,03;2,68;-1,33
Επάρκεια;ΓΕΛ (Ε);Καταχώριση εγγράφων;0,01;-0,65;-0,25;-1,56;2,08;0,15;-0,72;0,1;0,51;0,06;0,81;-0,67;-0,74;0,42;-0,36;6,36;-6,25;0,21;0,3;0,04
Επάρκεια;ΓΕΛ (Ε);Κατοχή ψηφιακών δεξιοτήτων;0,22;-0,15;-0,4;0;0,5;-0,37;0,51;-1,07;0,62;0,39;0,29;0,14;-0,54;-0,48;0,49;3,51;-3,86;0,23;0,06;0,37
