;;;;;2019;2019;2020;2020;2021;2021;2022;2022;2023;2023;2024;2024;MO ΝΕΕΣ ΘΕΣΕΙΣ;ΜΟ ΠΡΟΣΛΗΨΕΙΣ
Εκπαιδευτικό επίπεδο;Περιφέρεια;Φύλο;Κλάδος (1ο επίπεδο ανάλυσης);Επάγγελμα (1ο επίπεδο ανάλυσης);Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;;
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Χωρίς πληροφορία;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;;;-1;;0;1;;;;;;;1;1
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Χωρίς πληροφορία;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;;;;;;;;;;;0;1;0;1
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Χωρίς πληροφορία;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;1;1;-1;;;;0;1;;;2;2;-1;1
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Χωρίς πληροφορία;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;;;;;;;-1;;1;1;;;0;1
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Άλλες δραστηριότητες παροχής υπηρεσιών;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;2;22;4;18;-1;20;2;24;4;31;-1;16;-2;22
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Άλλες δραστηριότητες παροχής υπηρεσιών;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;8;33;10;153;2;157;17;138;-2;95;1;124;-6;117
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Άλλες δραστηριότητες παροχής υπηρεσιών;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;-1;2;1;10;1;10;-3;28;3;28;-6;4;1;14
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Άλλες δραστηριότητες παροχής υπηρεσιών;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;10;168;-8;31;2;22;1;125;-4;122;5;184;-1;109
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Άλλες δραστηριότητες παροχής υπηρεσιών;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;2;102;4;39;10;29;0;195;-5;108;25;165;-6;106
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Άλλες δραστηριότητες παροχής υπηρεσιών;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;9;30;-3;21;-2;23;3;28;0;25;5;29;-2;26
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Άλλες δραστηριότητες παροχής υπηρεσιών;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);5;14;-2;16;-2;14;3;12;3;9;1;15;-1;13
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Γεωργία, Δασοκομία και Αλιεία;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;19;167;8;186;2;223;5;226;1;188;2;217;-6;201
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Γεωργία, Δασοκομία και Αλιεία;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;0;1;1;1;3;4;-3;1;-1;1;0;1;0;2
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Γεωργία, Δασοκομία και Αλιεία;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;12;48;11;42;-3;54;2;80;-3;141;6;140;-4;84
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Γεωργία, Δασοκομία και Αλιεία;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;-4;5;-1;7;-7;9;13;28;-12;32;9;43;0;21
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Γεωργία, Δασοκομία και Αλιεία;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;;;;;;;;;-1;;;;1;#DIV/0!
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Γεωργία, Δασοκομία και Αλιεία;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;1;3;-1;1;0;2;-1;1;0;1;0;2;0;2
