school;skill;job;location;importance
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ ΚΑΙ ΘΡΑΚΗ;9,88
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;ΒΌΡΕΙΟ ΑΙΓΑΙΟ;9,13
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;ΔΥΤΙΚΗ ΕΛΛΑΔΑ;9,89
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ;9,8
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;ΗΠΕΙΡΟΣ;9,97
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;ΘΕΣΣΑΛΙΑ;9,79
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;ΙΟΝΙΩΝ ΝΗΣΩΝ;9,91
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ;9,75
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;ΚΡΗΤΗ;9,88
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;ΝΟΤΙΟ ΑΙΓΑΙΟ;9,38
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ;9,33
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;ΣΤΕΡΕΑ ΕΛΛΑΔΑ;8,9
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Attica;9,26
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Central Greece;8,38
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Central Macedonia;8,83
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;crete;9,29
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Eastern macedonia and thrace;9
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Epirus;8,75
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;IONIAN ISLANDS;8,4
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;North Aegean;9
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Peloponnese;8,91
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;South Aegean;9,67
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Thessaly;8,08
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;WEST MACEDONIA;10
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;WESTERN GREECE;9
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Άλλες δραστηριότητες παροχής υπηρεσιών;ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ ΚΑΙ ΘΡΑΚΗ;10
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Άλλες δραστηριότητες παροχής υπηρεσιών;ΒΌΡΕΙΟ ΑΙΓΑΙΟ;9,25
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Άλλες δραστηριότητες παροχής υπηρεσιών;ΔΥΤΙΚΗ ΕΛΛΑΔΑ;9,79
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Άλλες δραστηριότητες παροχής υπηρεσιών;ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ;9,82
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Άλλες δραστηριότητες παροχής υπηρεσιών;ΗΠΕΙΡΟΣ;10
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Άλλες δραστηριότητες παροχής υπηρεσιών;ΘΕΣΣΑΛΙΑ;9,71
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Άλλες δραστηριότητες παροχής υπηρεσιών;ΙΟΝΙΩΝ ΝΗΣΩΝ;10
ΗΠΙΕΣ (Σ);Διαπροσωπικές και Επικοινωνιακές δεξιότητες;Άλλες δραστηριότητες παροχής υπηρεσιών;ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ;9
