school;region;klados ;deksiothta;importance;Επάρκεια;Αναντισττοιχία
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Επικοινωνία με πελάτες;9,68;7,87;1,81
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Διαχείριση παραπόνων πελατών;9,47;7,44;2,03
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Εντοπισμός αναγκών πελάτη;9,39;7,55;1,84
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Παρακολούθηση ύψους αποθεμάτων;9,29;7,29;2
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Εποπτεία του ελέγχου ποιότητας αποθεμάτων;9,13;7,42;1,71
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Παραγγελίες προμηθειών;9,07;7,15;1,92
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Διαχείριση καταλόγου απογραφής αποθήκης;9,04;6,75;2,29
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Οργάνωση επιχειρηματικών εγγράφων;9;6,13;2,87
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Χρήση διαφορετικών διαύλων επικοινωνίας;8,96;7,12;1,84
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Έλεγχος δαπανών;8,76;6,14;2,62
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Καταχώριση εγγράφων;8,71;6,67;2,04
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Κατοχή ψηφιακών δεξιοτήτων;8,7;7,39;1,31
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Διασφάλιση ορθής διαχείρισης εγγράφων;8,45;6,14;2,31
ΓΕΛ;Ανατολική Μακεδονία και Θράκη;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Χρήση συστημάτων γραφείου;8,21;7;1,21
